"year","season","high","low","average_max","average_min"
1865,"Autumn",22.6,3.1,15.5777777777778,7.5
1865,"Summer",22.3,10.8,20.9888888888889,11.6555555555556
1866,"Autumn",17,3.7,13.8,7.3
1866,"Spring",15.7,1.7,12.2555555555556,4.13333333333333
1866,"Summer",21.9,10.5,20.2222222222222,11.4111111111111
1866,"Winter",9.9,0.9,8.82222222222222,2.86666666666667
1867,"Autumn",18.8,1.6,13.4666666666667,6.33333333333333
1867,"Spring",16.8,0.5,12.0777777777778,4.84444444444444
1867,"Summer",21.5,9.6,20.1,11.0777777777778
1867,"Winter",10.4,-2.2,7.21111111111111,1.33333333333333
1868,"Autumn",20.6,2.2,13.3333333333333,5.94444444444444
1868,"Spring",20.4,2.9,14.6,5.68888888888889
1868,"Summer",25.9,9.4,22.6,11.9555555555556
1868,"Winter",11,1,8.82222222222222,3.38888888888889
1869,"Autumn",19,3.1,14.2222222222222,7.07777777777778
1869,"Spring",16,1.1,12.3111111111111,4.53333333333333
1869,"Summer",24.1,8.8,20.7444444444444,10.7555555555556
1869,"Winter",11,-0.5,8.34444444444444,3.05555555555556
1870,"Autumn",18.6,2.1,13.7222222222222,6.13333333333333
1870,"Spring",18,1.5,13.6666666666667,4.3
1870,"Summer",24.9,10.5,22.0777777777778,11.6666666666667
1870,"Winter",6.9,-2.3,5.35555555555556,0.144444444444445
1871,"Autumn",18.5,0.2,12.9777777777778,5.82222222222222
1871,"Spring",17.4,3.2,14.0888888888889,5.21111111111111
1871,"Summer",23.8,9,20.2444444444444,11.1777777777778
1871,"Winter",10.2,-1.2,6.53333333333333,1.46666666666667
1872,"Autumn",18.4,2.8,13.3666666666667,6.5
1872,"Spring",15.2,3.6,13.1,4.93333333333333
1872,"Summer",23.7,9.5,20.7666666666667,11.5666666666667
1872,"Winter",10.1,1.5,8.72222222222222,3.42222222222222
1873,"Autumn",17.2,2.1,12.2166666666667,5.2
1873,"Spring",16.1,2.1,12.8111111111111,4.24444444444444
1873,"Summer",22.6,8.9,19.7363636363636,11.2818181818182
1873,"Winter",9.9,-0.4,7.33,2.11
1874,"Autumn",18.6,2.5,12.8916666666667,6.375
1874,"Spring",16.1,3.1,13.0583333333333,4.81666666666667
1874,"Summer",25.3,7.6,19.9083333333333,10.4666666666667
1874,"Winter",9.3,-2.3,6.69166666666667,0.816666666666667
1875,"Autumn",20.3,1.4,12.9,6.6
1875,"Spring",18.3,1.8,12.7416666666667,4.56666666666667
1875,"Summer",21.9,6.4,18.9833333333333,10.4583333333333
1875,"Winter",9.7,-0.4,6.95833333333333,1.98333333333333
1876,"Autumn",17.4,3.2,13.0333333333333,7.18333333333333
1876,"Spring",15.7,-0.2,11.45,3.53333333333333
1876,"Summer",24.5,8.4,20.3083333333333,10.925
1876,"Winter",9.3,-0.4,7.475,2.375
1877,"Autumn",16.3,1.6,12.75,5.50833333333333
1877,"Spring",14.5,0.4,10.8833333333333,3.55
1877,"Summer",22.2,7.6,18.9833333333333,10.5916666666667
1877,"Winter",9.9,0,8.23333333333333,2.475
1878,"Autumn",18.1,-0.3,12.375,6.125
1878,"Spring",17.7,1.5,12.5,5.15833333333333
1878,"Summer",22.3,8.5,19.8416666666667,11.7083333333333
1878,"Winter",9.6,-4.2,6.50833333333333,1.25
1879,"Autumn",17.7,0.9,11.775,5.45833333333333
1879,"Spring",14.4,0.1,10.025,2.925
1879,"Summer",19.2,8,16.875,10.5083333333333
1879,"Winter",6.7,-3.2,4.58333333333333,-0.608333333333333
1880,"Autumn",19.9,0.1,12.48,5.46666666666667
1880,"Spring",17.8,1,12.48,4.09333333333333
1880,"Summer",22.6,7.7,18.6133333333333,10.88
1881,"Autumn",18.3,3.6,12.88,6.41333333333333
1881,"Spring",18.1,-0.6,11.96,3.48666666666667
1881,"Summer",23.8,6.8,18.0933333333333,9.87333333333333
1881,"Winter",8,-5.7,4.91333333333333,-0.42
1882,"Autumn",18,1.7,12.3333333333333,5.71333333333333
1882,"Spring",17.4,2.1,12.8,4.57333333333333
1882,"Summer",20.6,7.8,17.9933333333333,10.36
1882,"Winter",9.7,-0.6,7.52,2.47333333333333
1883,"Autumn",18.2,2.2,12.6555555555556,6.22222222222222
1883,"Spring",16.4,-2.3,11.0333333333333,2.78333333333333
1883,"Summer",21.5,7.5,18.1666666666667,10.0388888888889
1884,"Autumn",19.9,1.9,13.1,6.27222222222222
1884,"Spring",17.8,1.7,12.0722222222222,3.92222222222222
1884,"Summer",24.2,7.3,19.7333333333333,10.5333333333333
1884,"Winter",9.6,0.8,7.74444444444444,2.65
1885,"Autumn",17.7,2.4,11.65,5.08888888888889
1885,"Spring",14.4,-0.1,10.9666666666667,2.85555555555556
1885,"Summer",23.4,6.8,18.7277777777778,9.48333333333333
1885,"Winter",10,-0.1,6.85,1.5
1886,"Autumn",19.8,2.5,13.5388888888889,6.81666666666667
1886,"Spring",16.1,-0.1,10.8055555555556,3.21666666666667
1886,"Summer",22.5,7,19,10.1166666666667
1886,"Winter",6.8,-1.8,4.82222222222222,-0.505555555555556
1887,"Autumn",17.6,1.5,11.3,4.58333333333333
1887,"Spring",15.6,-0.5,10.6888888888889,2.72777777777778
1887,"Summer",24.6,8.7,20.8722222222222,10.5388888888889
1887,"Winter",8.5,-1.1,6.39444444444444,0.538888888888889
1888,"Autumn",18.9,3.5,12.8111111111111,5.84444444444444
1888,"Spring",16.9,-0.5,10.3222222222222,2.87777777777778
1888,"Summer",19.4,6,16.9777777777778,9.16111111111111
1888,"Winter",9.2,-0.7,6.44444444444444,1.21666666666667
1889,"Autumn",19.2,2.6,12.6611111111111,6.06111111111111
1889,"Spring",18.3,0.3,11.7611111111111,4.4
1889,"Summer",22.1,7.8,18.8388888888889,10.2111111111111
1889,"Winter",8.3,-0.5,6.52777777777778,0.95
1890,"Autumn",20.6,1.1,13.8888888888889,6.41666666666667
1890,"Spring",18.1,1.3,12.2888888888889,4.08333333333333
1890,"Summer",20.8,7.9,17.8555555555556,9.83333333333333
1890,"Winter",9.8,-4,6.02777777777778,0.761111111111111
1891,"Autumn",19.4,1.7,12.9111111111111,6.05555555555556
1891,"Spring",16,-1.4,10.2055555555556,2.32222222222222
1891,"Summer",21.6,7.9,18.2333333333333,10.25
1891,"Winter",10.1,-1.9,7.28333333333333,0.672222222222222
1892,"Autumn",18.4,2.4,11.8777777777778,5.09444444444444
1892,"Spring",18.3,-1.9,11.6333333333333,2.39444444444444
1892,"Summer",21.6,6.3,17.8555555555556,9.49444444444445
1892,"Winter",8.2,-1.9,5.51666666666667,0.0111111111111111
1893,"Autumn",20,1.6,12.8277777777778,5.38333333333333
1893,"Spring",20.4,1.7,14.9222222222222,4.68888888888889
1893,"Summer",23.4,8.6,20.3222222222222,11.1833333333333
1893,"Winter",9.2,-0.4,6.77777777777778,1.26111111111111
1894,"Autumn",17.7,4,12.6611111111111,6.08888888888889
1894,"Spring",15.9,0.7,12.55,3.76666666666667
1894,"Summer",20.7,7.7,18.1555555555556,10.4333333333333
1894,"Winter",9.6,-0.6,7.38333333333333,1.63333333333333
1895,"Autumn",23.6,2.2,13.8777777777778,5.92222222222222
1895,"Spring",19.7,0.7,12.8,4.24444444444444
1895,"Summer",22.5,7.4,19.35,10.3166666666667
1895,"Winter",8.2,-5.3,4.06666666666667,-1.64444444444444
1896,"Autumn",17.8,1.5,11.45,4.98333333333333
1896,"Spring",20,1.6,13.5111111111111,4.92777777777778
1896,"Summer",23.6,8.6,19.4333333333333,10.5944444444444
1896,"Winter",9.2,0.7,7.46111111111111,2.09444444444444
1897,"Autumn",18.4,3.9,13.2777777777778,6.26111111111111
1897,"Spring",17.4,1.7,11.4055555555556,3.58333333333333
1897,"Summer",24.2,7.8,19.8166666666667,10.8888888888889
1897,"Winter",10.1,-1.3,6.81666666666667,1.49444444444444
1898,"Autumn",22.8,2.9,14.6444444444444,7.32777777777778
1898,"Spring",15.8,0.1,11.4388888888889,3.46666666666667
1898,"Summer",23.3,7.9,19.15,10.0666666666667
1898,"Winter",11.1,0.3,8.89444444444444,3.21666666666667
1899,"Autumn",20.3,3.8,14.1111111111111,6.58333333333333
1899,"Spring",16.6,0.2,11.6666666666667,3.4
1899,"Summer",25.7,8.2,21.3888888888889,11.3222222222222
1899,"Winter",10,-1.7,7.12222222222222,1.25555555555556
1900,"Autumn",21.2,3.1,13.5055555555556,6.25
1900,"Spring",16.4,-0.1,11.25,3.48888888888889
1900,"Summer",24.6,8.8,19.6611111111111,11.0666666666667
1900,"Winter",10.8,-2.3,7.33888888888889,1.95555555555556
1901,"Autumn",19.5,1.7,13.2,5.97777777777778
1901,"Spring",19.1,0.4,12.2055555555556,3.53333333333333
1901,"Summer",24.3,7.6,19.9722222222222,10.8055555555556
1901,"Winter",7.6,-0.5,5.9,0.733333333333333
1902,"Autumn",19.1,3.9,13.1833333333333,6.59444444444444
1902,"Spring",15,1.7,11.6,3.7
1902,"Summer",22.2,7.4,17.7833333333333,9.6
1902,"Winter",8.4,-2.1,6.43888888888889,1.30555555555556
1903,"Autumn",19.1,2.2,13,6.59444444444444
1903,"Spring",17.5,0.6,11.6444444444444,3.97222222222222
1903,"Summer",21.6,6.1,17.8277777777778,9.58333333333333
1903,"Winter",10.8,-0.2,7.38333333333333,2.26111111111111
1904,"Autumn",18.7,2,12.9166666666667,5.78888888888889
1904,"Spring",16.8,0.4,11.5444444444444,4.14444444444444
1904,"Summer",23.3,8.4,19.0277777777778,10.4888888888889
1904,"Winter",8.9,-0.2,6.61666666666667,1.51666666666667
1905,"Autumn",17.7,1.4,11.65,5.04444444444444
1905,"Spring",18.7,2.2,12.0611111111111,4.28888888888889
1905,"Summer",24.7,8.8,19.4777777777778,11.05
1905,"Winter",9.4,0.4,7.65555555555556,2.49444444444444
1906,"Autumn",20.9,4.5,14.2333333333333,7.03888888888889
1906,"Spring",16.1,0.2,11.45,3.23333333333333
1906,"Summer",23.4,8.4,19.7611111111111,10.6277777777778
1906,"Winter",9.6,-0.9,6.72777777777778,1.32222222222222
1907,"Autumn",20.7,2.5,13.5222222222222,6.35
1907,"Spring",16.2,0.6,12.0888888888889,4.12777777777778
1907,"Summer",20.5,7.5,17.0833333333333,9.56111111111111
1907,"Winter",8.9,-0.7,6.76666666666667,1.48333333333333
1908,"Autumn",17.6,2.7,14.0380952380952,7.2952380952381
1908,"Spring",18,0.3,11.1095238095238,3.77142857142857
1908,"Summer",21.8,7.9,18.5857142857143,10.1761904761905
1908,"Winter",9.7,-1.4,7.00952380952381,1.5
1909,"Autumn",17.1,0.4,12.1142857142857,5.73809523809524
1909,"Spring",17.5,-0.3,11.652380952381,3.24285714285714
1909,"Summer",22.3,6.6,17.6,9.90952380952381
1909,"Winter",8.2,-0.6,6.38571428571429,0.961904761904762
1910,"Autumn",18.5,-0.4,12.0285714285714,5.67142857142857
1910,"Spring",17.3,1.9,11.7714285714286,4.04761904761905
1910,"Summer",20,8.5,18.047619047619,10.547619047619
1910,"Winter",9.8,-0.5,7.36190476190476,2.21904761904762
1914,"Autumn",19.6,1.9,13.1,6.36333333333333
1914,"Summer",22.3,6.6,18.66,10.4566666666667
1914,"Winter",10.4,-0.1,7.18,2.00333333333333
1915,"Autumn",19.1,-3.8,11.7,4.98333333333333
1915,"Spring",17.9,-1.1,11.0233333333333,3.27666666666667
1915,"Summer",21.5,5.8,17.8266666666667,9.86
1915,"Winter",9.5,-1,6.43,1.49
1916,"Spring",17.9,-1.8,10.4166666666667,3.42333333333333
1916,"Summer",22.2,5.1,17.34,9.83333333333333
1916,"Winter",10.5,-1.4,6.85,1.67666666666667
1918,"Spring",19.2,-0.2,11.6703703703704,3.97407407407407
1921,"Autumn",21.2,-0.2,13.6933333333333,6.59666666666667
1921,"Summer",26.1,6.3,19.04,10.2533333333333
1922,"Autumn",17.6,1.2,11.7566666666667,5.27333333333333
1922,"Spring",19.9,-2.6,10.75,3.12
1922,"Summer",20.2,5.8,16.4466666666667,8.98
1922,"Winter",9.4,-1.6,6.73,1.70666666666667
1923,"Spring",15.4,0.7,10.4033333333333,3.70666666666667
1924,"Autumn",17.5,1.8,12.6333333333333,6.85666666666667
1924,"Spring",16.9,-4.1,10.4133333333333,2.84
1924,"Summer",20.7,6.8,17.1133333333333,9.91666666666667
1924,"Winter",9.7,-0.2,7.13,2.45333333333333
1925,"Autumn",16.9,-2.3,11.48,5.03666666666667
1925,"Spring",16.8,-0.2,10.7766666666667,3.85666666666667
1925,"Summer",22.7,6.7,18.8233333333333,10.5766666666667
1925,"Winter",9.2,-2.7,6.63666666666667,1.42666666666667
1926,"Autumn",20.4,0.6,12.17,5.55
1926,"Spring",15.7,1.1,11.4533333333333,4.33666666666667
1926,"Summer",22.1,6.6,18.4433333333333,10.5933333333333
1926,"Winter",10.6,0.7,7.39,2.47
1927,"Autumn",17.1,0.8,12.2233333333333,5.92666666666667
1927,"Summer",20.2,4.7,17.22,9.96
1927,"Winter",8.9,-1.6,6.04,1.15
1931,"Autumn",16.5,2.3,12.3511111111111,6.19333333333333
1931,"Spring",16.1,-2.3,10.2866666666667,3.54222222222222
1931,"Winter",10,-1.9,6.83111111111111,1.8
1932,"Autumn",18.5,1.3,12,5.92666666666667
1932,"Spring",14.8,-1.1,10.0733333333333,3.42
1932,"Summer",22.9,6.1,17.9733333333333,10.7577777777778
1932,"Winter",9.8,-1.7,7.94444444444444,2.78444444444444
1933,"Autumn",20.9,0.2,13.0866666666667,6.89111111111111
1933,"Spring",18,0.3,12.2622222222222,4.94888888888889
1933,"Summer",24.6,7.5,19.7444444444444,11.4666666666667
1933,"Winter",8,-2.7,5.86,0.88
1934,"Autumn",20.4,0.8,13.00625,6.76875
1934,"Spring",17.9,-1.7,10.8044444444444,3.73555555555556
1934,"Summer",25.3,6.9,18.831914893617,10.8617021276596
1935,"Autumn",18.7,0.9,12.5541666666667,6.49375
1935,"Spring",16.1,1.4,11.1083333333333,4.16875
1935,"Summer",23.9,7.1,18.90625,10.8854166666667
1935,"Winter",9.7,-2.4,6.87916666666667,2.0625
1936,"Autumn",18.8,0.3,12.7520833333333,6.54166666666667
1936,"Spring",17.8,-1,10.9666666666667,4.16458333333333
1936,"Summer",22.2,7,18.1583333333333,10.7104166666667
1936,"Winter",9.6,-2.8,6.46875,1.325
1937,"Autumn",19.3,0.6,12.6958333333333,6.46041666666667
1937,"Spring",17.5,-3.2,10.7895833333333,4.26041666666667
1937,"Summer",23.6,7.1,18.2104166666667,10.8041666666667
1937,"Winter",9.7,-2.1,6.77291666666667,1.96875
1938,"Autumn",19,3.8,13.5333333333333,7.58333333333333
1938,"Spring",15.9,0,12.3895833333333,4.82916666666667
1938,"Summer",21.9,6.9,17.68125,10.41875
1938,"Winter",9.4,0.1,7.42291666666667,2.48958333333333
1939,"Autumn",19.6,2.1,13.0125,6.96458333333333
1939,"Spring",17,0.7,11.4958333333333,4.64166666666667
1939,"Summer",21.6,6.6,17.9416666666667,10.5291666666667
1939,"Winter",9.8,-1.2,6.91666666666667,2.08958333333333
1940,"Spring",18.9,-0.7,11.8604166666667,4.45416666666667
1942,"Autumn",19.1,-0.6,12.6745098039216,6.39019607843137
1942,"Spring",16.8,-1.4,11.4666666666667,3.89607843137255
1942,"Summer",21.8,5.6,17.9647058823529,10.4392156862745
1942,"Winter",10.5,-5.1,5.76470588235294,0.809803921568627
1943,"Autumn",19.1,1.2,13.0627450980392,6.62156862745098
1943,"Spring",18.2,0.4,12.9,5.07843137254902
1943,"Summer",23,6.7,18.1333333333333,10.3490196078431
1943,"Winter",10.2,-0.5,7.71176470588235,2.45294117647059
1944,"Spring",18.6,-0.8,11.9980392156863,4.41372549019608
1944,"Winter",10.3,-1.4,7.26274509803922,2.16274509803922
1945,"Autumn",19.1,3,14.0352941176471,7.89803921568627
1945,"Spring",18.1,1.3,13.1509803921569,5.47450980392157
1945,"Summer",22.1,7.2,18.4882352941176,10.9156862745098
1945,"Winter",11.3,-4.3,7.14901960784314,1.68039215686275
1957,"Autumn",18.2,2.2,12.7086956521739,6.76086956521739
1957,"Spring",16.9,1.9,12.7594202898551,5.31304347826087
1957,"Summer",23.6,6.2,18.6579710144928,10.8710144927536
1957,"Winter",10.3,-1.9,7.89130434782609,2.03768115942029
1958,"Autumn",20.1,0.6,13.7594202898551,7.69275362318841
1958,"Spring",17.3,-2.2,10.6202898550725,3.38695652173913
1958,"Winter",10.3,-2.7,7.00144927536232,1.39565217391304
1975,"Autumn",19.5,0.1,12.9774509803922,6.15686274509804
1975,"Spring",15.9,-1.8,10.6362745098039,3.65980392156863
1975,"Summer",25.9,6.1,20.1735294117647,11.1323529411765
1975,"Winter",10.6,-2.2,8.09019607843137,2.51372549019608
1976,"Autumn",19,-0.3,12.6843137254902,6.62941176470588
1976,"Spring",19.3,-0.7,11.4009803921569,4.18235294117647
1976,"Summer",26.6,6.3,21.2490196078431,11.4196078431373
1976,"Winter",9.1,-3.5,6.42843137254902,1.47647058823529
1977,"Autumn",18.3,-0.5,12.9809523809524,6.89809523809524
1977,"Spring",16.7,0.7,11.2823529411765,4.13333333333333
1977,"Summer",22.4,4.8,17.771568627451,9.89803921568627
1977,"Winter",10,-3.8,6.8378640776699,1.83495145631068
1978,"Autumn",20.1,2.5,14.1416666666667,7.83518518518519
1978,"Summer",20.7,6.4,17.3457142857143,10.1761904761905
1978,"Winter",9.2,-8.4,5.74811320754717,0.629245283018868
1979,"Autumn",19.6,-0.2,13.4055555555556,6.6712962962963
1979,"Spring",15.9,-2,10.1796296296296,3.4212962962963
1979,"Summer",22.5,7.1,17.9583333333333,10.3462962962963
1979,"Winter",10.1,-7.4,5.09074074074074,-0.260185185185185
1986,"Autumn",17.5,1.2,13.2882882882883,6.21531531531532
1986,"Summer",22.6,6.2,17.7891891891892,10.1369369369369
1987,"Autumn",19.7,1.3,12.8189189189189,6.59009009009009
1987,"Spring",16.5,-2.9,11.4513513513514,4.08648648648649
1987,"Summer",21.8,5,17.6963963963964,10.5126126126126
1987,"Winter",9.6,-4.6,6.24054054054054,0.983783783783784
1988,"Autumn",18.8,-0.2,12.9054054054054,6.44594594594595
1988,"Spring",18,-0.6,11.9126126126126,4.71441441441441
1988,"Summer",21.8,7.7,17.8855855855856,10.6603603603604
1988,"Winter",11,-1.1,8.28738738738739,3.11981981981982
1989,"Autumn",20.7,1,13.8711711711712,7.33603603603604
1989,"Spring",21,0.2,12.3666666666667,4.56756756756757
1989,"Summer",25.8,6,20.0216216216216,11.0045045045045
1989,"Winter",10.6,-3.7,8.47117117117117,2.74054054054054
1990,"Autumn",20.3,0.7,13.3558558558559,7.15675675675676
1990,"Spring",20.5,1.2,13.3684684684685,5.11081081081081
1990,"Winter",11.8,-1.2,8.56846846846847,3.19369369369369
1992,"Autumn",18.9,0.3,12.3054054054054,5.97837837837838
1993,"Autumn",17.8,-2.4,11.5387387387387,5.33873873873874
1993,"Summer",21.8,6.6,17.9441441441441,10.3369369369369
1994,"Autumn",18,2.8,13.6351351351351,7.59279279279279
1994,"Spring",16,-0.1,11.6027027027027,4.74864864864865
1995,"Summer",27.1,6.3,20.9036036036036,11.7036036036036
1998,"Spring",20.8,0.5,12.5117117117117,5.56216216216216
1999,"Autumn",21.3,2.2,14.3387387387387,7.86936936936937
1999,"Summer",24.9,6.6,19.0774774774775,11.0936936936937
1999,"Winter",10.5,-2.2,7.76666666666667,2.22252252252252
2000,"Winter",10.9,-0.4,8.21454545454545,2.82818181818182
2001,"Autumn",19,1.4,14.1898148148148,8.14166666666667
2001,"Spring",18.8,-2.4,11.8388888888889,4.39259259259259
2002,"Autumn",20.3,2.5,13.8537037037037,7.45555555555556
2002,"Winter",11.3,-0.2,8.52407407407407,3.43333333333333
2003,"Spring",18.2,-0.1,13.537962962963,5.30925925925926
2004,"Winter",10.3,-1.9,8.1785046728972,2.63084112149533
2006,"Spring",18,-1.8,11.5647619047619,4.55238095238095
2006,"Winter",10.7,-1.6,7.61142857142857,2.56857142857143
2007,"Autumn",19.9,1.9,14.0142857142857,7.30761904761905
2007,"Spring",18.9,0.1,13.7066666666667,5.74
2008,"Autumn",18.8,0,13.0409523809524,6.80571428571429
2008,"Summer",22.8,6,18.68,11.4628571428571
2009,"Autumn",20.5,0.7,14.2466666666667,8.02666666666667
2009,"Spring",19.1,0.2,13.167619047619,5.30571428571429
2009,"Summer",23.9,6.4,19.2809523809524,11.4866666666667
2009,"Winter",8.7,-6.5,6.53809523809524,1.0647619047619
2010,"Autumn",19.4,-1.8,12.9114285714286,6.49142857142857
2010,"Spring",17.6,-2.7,12.3952380952381,4.18285714285714
2010,"Summer",25,7,19.2971428571429,11.307619047619
2010,"Winter",7.7,-8.1,4.49238095238095,-1.20190476190476
2011,"Autumn",21.3,3.1,15.228431372549,8.90098039215686
2011,"Spring",19.7,-0.4,13.9611650485437,5.68058252427184
2011,"Summer",21.8,5.4,18.3166666666667,10.393137254902
2011,"Winter",10.7,-2.3,7.93942307692308,2.60480769230769
2012,"Autumn",20,-0.1,12.8078431372549,6.21666666666667
2012,"Spring",18.2,-0.1,12.8294117647059,4.87941176470588
2012,"Summer",23.5,5.9,18.0960784313726,11.1019607843137
2012,"Winter",10.1,-2.1,7.90980392156863,2.31372549019608
2013,"Autumn",19.9,-1,13.8166666666667,7.50196078431373
2013,"Spring",16.4,-4.1,10.3049019607843,3.18725490196078
2013,"Summer",27,6.4,20.0176470588235,11.5294117647059
2013,"Winter",11.1,-2.5,7.38529411764706,2.11666666666667
2014,"Autumn",21.5,2.2,14.9539215686275,8.38725490196078
2014,"Spring",18,1.4,13.3558823529412,6.02156862745098
2014,"Summer",25.8,7.1,19.593137254902,11.4166666666667
2014,"Winter",10.6,-1.7,8.33039215686274,2.91862745098039
2015,"Autumn",18.7,1.5,14.2450980392157,7.45098039215686
2015,"Spring",17.6,0.1,12.3637254901961,4.48529411764706
2015,"Summer",23.7,6,18.6196078431373,10.6696078431373
2015,"Winter",13.7,-1.4,8.7421568627451,3.10490196078431
2016,"Autumn",22.5,-2.5,14,7.33529411764706
2016,"Spring",19,-0.7,12.2205882352941,4.55588235294118
2016,"Summer",24.7,7.4,19.3225490196078,11.8117647058824
2016,"Winter",11.3,-2.8,8.53529411764706,2.72941176470588
2017,"Autumn",19.2,0,13.7950980392157,7.57745098039216
2017,"Spring",19.8,-0.2,13.7882352941176,5.91372549019608
2017,"Summer",24,8.1,19.2254901960784,11.6862745098039
2017,"Winter",10.3,-1.6,8.00294117647059,2.52549019607843
2018,"Autumn",20.9,1.2,14.0078431372549,7.26862745098039
2018,"Spring",20.8,-2.2,12.5450980392157,5.01960784313725
2018,"Summer",28.3,7.8,20.9490196078431,11.9441176470588
2018,"Winter",11.5,-2.5,7.66666666666667,2.27647058823529
2019,"Autumn",21.2,-0.8,13.2480392156863,6.96372549019608
2019,"Spring",18.6,1,13.0686274509804,5.24117647058824
2019,"Summer",25.5,6.2,19.8303921568627,11.9607843137255
2019,"Winter",12.4,-3.6,8.82254901960784,2.67941176470588
2020,"Autumn",21.6,2.2,14.1470588235294,7.61470588235294
2020,"Spring",21.1,-0.4,13.9088235294118,4.99705882352941
2020,"Summer",25.6,7.6,19.2892156862745,11.6970588235294
2020,"Winter",11.1,-1.7,8.56862745098039,3.2843137254902
2021,"Autumn",22.3,1.8,14.8990196078431,8.4921568627451
2021,"Spring",16.5,-2.7,11.843137254902,3.79607843137255
2021,"Summer",24.2,7.1,19.856862745098,12
2021,"Winter",11.4,-4.1,7.43235294117647,2.17254901960784
2022,"Autumn",20.4,2.7,15.1480392156863,8.79803921568628
2022,"Spring",20.2,-1.7,13.6852941176471,5.62254901960784
2022,"Summer",27.2,7.4,20.9764705882353,11.9490196078431
2022,"Winter",11.3,-3.1,8.25588235294118,2.34901960784314
2023,"Spring",19.4,-1.9,12.7980392156863,5.40588235294118
2023,"Summer",25.3,6.8,21.2823529411765,11.6
2023,"Winter",10.8,-1.3,8.89852941176471,2.96764705882353
